주성분코드,제품코드
430201ATB,nateglinide   30mg
430202ATB,nateglinide   90mg
430203ATB,nateglinide   0.12g
431901ATB,pioglitazone hydrochloride (as pioglitazone   15mg)
431902ATB,pioglitazone hydrochloride (as pioglitazone   30mg)
443400ATB,glibenclamide   2.5mg
443500ATB,glibenclamide   5mg
474200ATB,glimepiride   1mg
474300ATB,glimepiride   2mg
474300ATR,glimepiride   2mg
498600ATB,glimepiride   1mg
486101ATB,Mitiglinide Calcium hydrate   10mg
497200ATB,gliclazide   80mg
498100ATB,metformin hydrochloride   0.85g
500801ATB,vildagliptin   50mg
501101ATB,sitagliptin phosphate hydrate (as sitagliptin   25mg)
501102ATB,sitagliptin phosphate hydrate (as sitagliptin   50mg)
501103ATB,sitagliptin phosphate hydrate (as sitagliptin   0.1g)
502300ATB,metformin hydrochloride   1g
502300ATR,metformin hydrochloride   1g
502900ATB,metformin hydrochloride   0.85g
513700ATB,metformin hydrochloride   0.5g
513700ATR,metformin hydrochloride   0.5g
524700ATR,metformin hydrochloride   1g
507000ATB,metformin hydrochloride   0.85g
507100ATB,metformin hydrochloride   1g
519600ATB,metformin hydrochloride   0.5g
518500ATR,metformin hydrochloride   0.5g
518600ATR,metformin hydrochloride   1g
518800ATB,metformin hydrochloride   0.5g
520500ATB,linagliptin   2.5mg
520600ATB,linagliptin   2.5mg
520700ATB,linagliptin   2.5mg
523600ATB,metformin hydrochloride   0.25g
523700ATB,metformin hydrochloride   0.5g
523800ATR,gemigliptin tartrate sesquihydrate (as gemigliptin   25mg)
632000ATR,gemigliptin tartrate sesquihydrate (as gemigliptin   50mg)
645000ATR,gemigliptin tartrate sesquihydrate (as gemigliptin   50mg)
654100ATR,gemigliptin tartrate sesquihydrate (as gemigliptin   25mg)
525500ATB,glimepiride   2mg
525600ATB,glimepiride   4mg
525901ATB,lobeglitazone sulfate (as lobeglitazone   0.415mg)
527302ATB,dapagliflozin propanediol hydrate (as dapagliflozin   10mg)
613301ATB,saxagliptin hydrate (as saxagliptin   2.5mg)
613302ATB,saxagliptin hydrate (as saxagliptin   5mg)
616401ATB,linagliptin   5mg
619101ATB,gemigliptin tartrate sesquihydrate (as gemigliptin   50mg)
624202ATB,alogliptin benzoate (as alogliptin   12.5mg)
624203ATB,alogliptin benzoate (as alogliptin   25mg)
627301ATB,teneligliptin hydrobromide hydrate (as teneligliptin   20mg)
628201ATB,empagliflozin   10mg
628202ATB,empagliflozin   25mg
630500ATB,alogliptin benzoate (as alogliptin   25mg)
630600ATB,alogliptin benzoate (as alogliptin   25mg)
631900ATB,metformin Hydrochloride   0.5g
644900ATB,metformin hydrochloride   0.5g
632100ATB,metformin Hydrochloride   0.5g
635600ATB,alogliptin benzoate (as alogliptin   12.5mg)
635700ATB,alogliptin benzoate (as alogliptin   12.5mg)
636101ATB,ipragliflozin L-Proline (as ipragliflozin   50mg)
639601ATB,anagliptin   0.1g
639800ATR,dapagliflozin propanediol hydrate (as dapagliflozin   10mg)
641400ATR,dapagliflozin propanediol hydrate (as dapagliflozin   10mg)
641800ATR,metformin hydrochloride   0.5g
641900ATR,metformin hydrochloride   0.75mg
642000ATR,metformin hydrochloride   1g
645301ATB,evogliptin tartrate (as evogliptin   5mg)
648400ATB,anagliptin   0.1g
648500ATB,anagliptin   0.1g
648600ATB,anagliptin   0.1g
649000ATB,empagliflozin   5mg
649100ATB,empagliflozin   12.5mg
649200ATB,empagliflozin   12.5mg
649300ATB,empagliflozin   12.5mg
649400ATB,empagliflozin   5mg
649500ATB,empagliflozin   5mg
649900ATR,evogliptin tartrate (as evogliptin   5mg)
650000ATR,evogliptin tartrate (as evogliptin   2.5mg)
650100ATR,evogliptin tartrate (as evogliptin   2.5mg)
653800ATR,lobeglitazone sulfate (as lobeglitazone   0.208mg)
653900ATR,lobeglitazone sulfate (as lobeglitazone   0.208mg)
654000ATR,lobeglitazone sulfate (as lobeglitazone   0.415mg)
655700ATR,lobeglitazone sulfate (as lobeglitazone   0.208mg)
664600ATB,gemigliptin tartrate sesquihydrate  (as gemigliptin   50mg)
664700ATB,gemigliptin tartrate sesquihydrate  (as gemigliptin   50mg)
664800ATB,gemigliptin tartrate sesquihydrate  (as gemigliptin   50mg)
671800ATR,atorvastatin calcium (as atorvastatin   10mg)
673800ATR,atorvastatin calcium (as atorvastatin   10mg)
671900ATR,atorvastatin calcium (as atorvastatin   10mg)
672000ATR,atorvastatin calcium (as atorvastatin   20mg)
672100ATR,atorvastatin calcium (as atorvastatin   20mg)
672500ATR,metformin hydrochloride   0.5g
672600ATR,metformin hydrochloride   0.75g
672700ATR,metformin hydrochloride   0.5g
672800ATR,metformin hydrochloride   0.75g
672900ATR,metformin hydrochloride   0.5g
673000ATR,metformin hydrochloride   0.75g
674301ATB,ertugliflozin L-pyroglutamic acid (as ertugliflozin   5mg)
674302ATB,ertugliflozin L-pyroglutamic acid (as ertugliflozin   15mg)
112201ACH,avocado soya unsaponifiables   0.3g
115601ATB,benzburomaron   50mg
118701ATB,bromocryptine mesylate (as bromocryptine   2.5mg)
122501ATB,camostat mesilate   0.1g
122502ATB,camostat mesilate   0.2g
132502ACH,chondroitin sodium sulfate   0.4g
142801ACH,diacerhein   25mg
142802ACH,diacerhein   50mg
147401ATB,disodium etidronate   0.2g
180830ASY,lactulose concentrated solution (as lactulose   10.05g(0.67g/mL))
180833ASY,lactulose concentrated solution (as lactulose   335g(0.67g/mL))
180834ASY,lactulose concentrated solution (as lactulose   67g(0.67g/mL))
180835ASY,lactulose concentrated solution (as lactulose   134g(0.67g/mL))
228301ATB,sodium alendronate (as alendronic acid   10mg)
228302ATB,sodium alendronate (as alendronic acid   5mg)
228303ALQ,sodium alendronate (as alendronic acid   70mg)
228303ATB,sodium alendronate (as alendronic acid   70mg)
228305ATB,sodium alendronate (as alendronic acid   70mg)
250901ATB,thioctic acid(α-lipoic acid)   0.2g
250901ATR,thioctic acid(α-lipoic acid)   0.2g
250902ATR,thioctic acid(α-lipoic acid)   0.6g
358001ATB,raloxifene hydrochloride (as raloxifene   55.71mg)
367730ASS,diazoxide   1.5g(50mg/mL)
379601ATE,S-adenosyl-L-methionine sulfate-p-toluene sulfonate (as S-adenosyl-L-methionine   0.2g)
412601ACH,5-hydroxytriptophan   0.1g
442301ATB,risedronate sodium   5mg
442302ATB,risedronate sodium   35mg
442302ATE,risedronate sodium 2.5 hydrate(enteric coated)   35mg
442303ATB,risedronate sodium   75mg
442330ATB,risedronate sodium   0.15g
468000ATE,calcitriol   0.5μg
480304ATB,ibandronate sodium monohydrate (as ibandronic acid   0.15g)
481100ATB,cholecalciferol concentrated powder (as vitamin D3   2.8KI.U)
500200ATB,cholecalciferol concentrated powder (as vitamin D3   5.6KI.U)
484001ACH,Nitisinone   2mg
505901ACH,miglustat   0.1g
511200ATB,cholecalciferol concentrated powder (as cholecalciferol   5.6KI.U)
518400ATB,cholecalciferol   30KI.U
512301ATB,cinacalcet hydrochloride (as cinacalcet   25mg)
512302ATB,cinacalcet hydrochloride (as cinacalcet   75mg)
515001ATB,sapropterin dihydrochloride   0.1g
517401ATB,cabergoline   0.5mg
517402ATB,cabergoline   0.25mg
517403ATB,cabergoline   1mg
523900ATB,cholecalciferol concentrated granule (as cholecalciferol   24KI.U)
524901ATB,R-thioctic acid tromethamine   0.48g
617101ATB,bazedoxifene acetate (as bazedoxifene   20mg)
618401ATD,carglumic acid   0.2g
646601ACH,eliglustat tartrate (as eliglustat   84.4mg)
659200ACH,raloxifene hydrochloride (as raloxifene   55.71mg)
659200ATB,raloxifene hydrochloride (as raloxifene   55.7mg)
674500ATB,bazedoxifene acetate (as bazedoxifene   20mg)
100101APD,phellinus linteus mycelliun ext.   1.1g
100102ACH,phellinus linteus mycelliun ext.   0.55g
109001ATB,anastrozole   1mg
117201ATB,bicalutamide   50mg
117202ATB,bicalutamide   0.15g
122701ATB,capecitabine   0.15g
122702ATB,capecitabine   0.5g
139001ATB,cyclophosphamide   50mg
149301ACH,doxifluridine   0.1g
149302ACH,doxifluridine   0.2g
155101ACH,estramustine sodium phosphate   0.14g
157102ACH,etoposide   25mg
160102ATB,fludarabine phosphate   10mg
172001ACH,hydroxyurea   0.5g
172002ACH,hydroxyurea   0.25g
182201ATB,letrozole   2.5mg
186501ATB,lyophilized thymus   0.2g
188905ATB,medroxyprogesterone acetate   0.5g
189303ASS,megestrol acetate   0.65g(0.125g/mL)
189304ASS,megestrol acetate   0.625g(0.125g/mL)
189330ASS,megestrol acetate   0.4g(40mg/mL)
189331ASS,megestrol acetate   0.8g(40mg/mL)
189335ASS,megestrol acetate   9.6g(40mg/mL)
189301ATB,megestrol acetate   40mg
189302ATB,megestrol acetate   0.16g
189901ATB,melphalan   2mg
190601ATB,mercaptopurine hydrate   50mg
192101ATB,methotrexate   2.5mg
215330AGN,polysaccharide-K   1g(0.667g/g)
215301ACH,polysaccharide-K   0.5g
234501ATB,tamoxifen citrate (as tamoxifen   10mg)
234502ATB,tamoxifen citrate (as tamoxifen   20mg)
242101ATB,toremifene citrate (as toremifene   40mg)
309600AGN,tegafur   0.1g
309700ACH,tegafur   0.1g
364100AGN,tegafur   0.2g
358202ACH,temozolomide   20mg
358203ACH,temozolomide   0.1g
358204ACH,temozolomide   0.25g
358401ATB,exemestane   25mg
388501ACH,ubenimex   10mg
388502ACH,ubenimex   30mg
412701ATB,imatinib mesylate (as imatinib   0.1g)
412702ATB,imatinib mesylate (as imatinib   0.2g)
412703ATB,imatinib mesylate (as imatinib   0.4g)
412704ATB,imatinib mesylate (as imatinib   0.3g)
452400ACH,gimeracil   5.8mg
452500ACH,gimeracil   7.25mg
453001ATB,gefitinib   0.25g
477401ATB,erlotinib hydrochloride (as erlotinib   0.1g)
477402ATB,erlotinib hydrochloride (as erlotinib   0.15g)
477403ATB,erlotinib hydrochloride (as erlotinib   25mg)
485605ATB,everolimus   5mg
485606ATB,everolimus   10mg
485607ATB,everolimus   2.5mg
485701ACH,thalidomide   50mg
485702ACH,thalidomide   0.1g
487701ACH,sunitinib malate   12.5mg
487702ACH,sunitinib malate   25mg
487703ACH,sunitinib malate   50mg
488001ATB,sorafenib tosylate (as sorafenib   0.2g)
493301ATB,dasatinib   20mg
493302ATB,dasatinib   50mg
493303ATB,dasatinib   70mg
493304ATB,dasatinib   0.1g
493305ATB,dasatinib   80mg
507501ATB,lapatinib ditosylate (as lapatinib   0.25g)
562601ACH,nilotinib hydrochloride monohydrate (as nilotinib   0.2g)
562602ACH,nilotinib hydrochloride monohydrate (as nilotinib   0.15g)
588201ACH,lenalidomide   10mg
588201ATB,lenalidomide   10mg
588202ACH,lenalidomide   15mg
588202ATB,lenalidomide   15mg
588203ACH,lenalidomide   25mg
588203ATB,lenalidomide   25mg
588204ACH,lenalidomide   5mg
588204ATB,lenalidomide   5mg
588205ACH,lenalidomide   2.5mg
588205ATB,lenalidomide   2.5mg
588206ACH,lenalidomide   7.5mg
588206ATB,lenalidomide   7.5mg
588207ACH,lenalidomide   20mg
588207ATB,lenalidomide   20mg
611801ATB,pazopanib hydrochloride (as pazopanib   0.2g)
611802ATB,pazopanib hydrochloride (as pazopanib   0.4g)
617501ACH,crizotinib   0.2g
617502ACH,crizotinib   0.25g
617701ACH,radotinib hydrochloride (as radotinib   0.1g)
617702ACH,radotinib hydrochloride (as radotinib   0.2g)
620402ATB,abiraterone acetate   0.5g
620501ATB,vemurafenib   0.24g
621001ATB,axitinib   1mg
621002ATB,axitinib   5mg
623001ATB,ruxolitinib phosphate (as ruxolitinib   5mg)
623002ATB,ruxolitinib phosphate (as ruxolitinib   15mg)
623003ATB,ruxolitinib phosphate (as ruxolitinib   20mg)
624101ATB,vandetanib   0.1g
624102ATB,vandetanib   0.3g
624801ATB,regorafenib hydrate (as regorafenib   40mg)
626101ATB,afatinib dimaleate (as afatinib   20mg)
626102ATB,afatinib dimaleate (as afatinib   30mg)
626103ATB,afatinib dimaleate (as afatinib   40mg)
627401ACS,enzalutamide   40mg
628001ACH,pomalidomide   1mg
628002ACH,pomalidomide   2mg
628003ACH,pomalidomide   3mg
628004ACH,pomalidomide   4mg
628101ACH,ibrutinib   140mg
634401ACH,ceritinib   0.15g
643501ACH,olaparib   50mg
645201ACH,lenvatinib mesylate (as lenvatinib   4mg)
645202ACH,lenvatinib mesylate (as lenvatinib   10mg)
645401ATB,trametinib dimethylsulfoxide (as trametinib   2mg)
645402ATB,trametinib dimethylsulfoxide (as trametinib   0.5mg)
652401ATB,olmutinib hydrochloride (as olmutinib   0.2g)
652402ATB,olmutinib hydrochloride (as olmutinib   0.4g)
652501ATB,osimertinib mesylate (as osimertinib   40mg)
652502ATB,osimertinib mesylate (as osimertinib   80mg)
655201ACH,palbociclib   75mg
655202ACH,palbociclib   0.125g
655203ACH,palbociclib   0.1g
656201ACH,alectinib hydrochloride (as alectinib   0.15g)
663101ACH,dabrafenib mesylate (as dabrafenib   50mg)
663102ACH,dabrafenib mesylate (as dabrafenib   75mg)
666401ATB,cabozantinib (s)-malate (as cabozantinib   60mg)
666402ATB,cabozantinib (s)-malate (as cabozantinib   40mg)
666403ATB,cabozantinib (s)-malate (as cabozantinib   20mg)
669601ATB,ponatinib hydrochloride (as ponatinib   15mg)
669602ATB,ponatinib hydrochloride (as ponatinib   45mg)
675701ATB,brigatinib   30mg
675702ATB,brigatinib   90mg
675703ATB,brigatinib   0.18g
238430ASY,thymomodulin   60mg(4mg/mL)
238431ASY,thymomodulin   0.4g(4mg/mL)
243001ACS,tretinoin   10mg
348101ACH,anagrelide hydrochloride (as anagrelide   0.5mg)
348102ACH,anagrelide hydrochloride (as anagrelide   1mg)
368610ACH,sodium iodide(I-131)   3.7GBq(100mCi)
368611ACH,sodium iodide(I-131)   0.37GBq(10mCi)
368612ACH,sodium iodide(I-131)   7.4GBq(200mCi)
368613ACH,sodium iodide(I-131)   1.11GBq(30mCi)
368614ACH,sodium iodide(I-131)   1.85GBq(50mCi)
368616ALQ,sodium iodide(I-131)   0.037GBq(1mCi)
368617ACH,sodium iodide(I-131)   5.55GBq(150mCi)
368621ACH,sodium iodide(I-131)   2.22GBq(60mCi)
368625ACH,sodium iodide(I-131)   1.48GBq(40mCi)
368627ACH,sodium iodide(I-131)   2.96GBq(80mCi)
368628ALQ,sodium iodide(I-123)   0.037GBq(1mCi)
368633ACH,sodium iodide(I-131)   2.59GBq(70mCi)
368634ACH,sodium iodide(I-131)   2.775GBq(75mCi)
368639ACH,sodium iodide(I-131)   4.44GBq(120mCi)
368641ACH,sodium iodide(I-131)   4.81GBq(130mCi)
368647ACH,sodium iodide(I-131)   6.66GBq(180mCi)
184201ACH,lincomycin hydrochloride   0.25g
184203ACH,lincomycin hydrochloride   0.5g
229101ATB,sodium fusidate   0.25g
247202ACH,vancomycin hydrochloride   0.25g
412901ATB,linezolid   0.6g
412903ATB,linezolid   0.3g
638801ATB,tedizolid phosphate   0.2g
128602ACH,ceftibuten   0.2g
139101ACH,cycloserine   0.25g
223901ACH,rifampicin   0.15g
223902ACH,rifampicin   0.3g
223902ATB,rifampicin   0.3g
223903ATB,rifampicin   0.45g
223904ATB,rifampicin   0.6g
364401ACH,rifabutin   0.15g
519500ATB,ethambutol hydrochloride   0.275g
112732ASY,azithromycin   0.6g(40mg/mL)
112733ASY,azithromycin   0.9g(40mg/mL)
112701ATB,azithromycin   0.25g
154001ACH,erythromycin(enteric coated)   0.25g
225332ASS,roxithromycin   5g(10mg/mL)
225333AGN,roxithromycin   5g(50mg/g)
225337AGN,roxithromycin   15g(50mg/g)
225301ATB,roxithromycin   0.15g
225302ASS,roxithromycin   50mg
225302ATB,roxithromycin   50mg
149501ACH,doxycycline hydrate   0.1g
149501ATB,doxycycline hydrate   0.1g
149701ACH,doxycycline hyclate hydrate   0.1g
149701ATB,doxycycline hyclate hydrate   0.1g
195903ACH,minocycline hydrochloride   50mg
207403ACH,oxytetracycline hydrochloride   0.5g
236701ACH,tetracycline hydrochloride   0.25g
108130ASY,amoxicillin   12.5g(25mg/mL)
108101ACH,amoxicillin   0.25g
108103ACH,amoxicillin   0.5g
125232ASY,cefaclor hydrate   0.75g(25mg/mL)
125235ASY,cefaclor hydrate   2.5g(25mg/mL)
125237ASY,cefaclor hydrate   3.75g(25mg/mL)
125238ASY,cefaclor hydrate   5g(25mg/mL)
125201ACH,cefaclor hydrate   0.25g
125204ATR,cefaclor hydrate   0.375g
125333ASY,cefadroxil   11.75g(25mg/mL)
125332ASY,cefadroxil   7.5g(50mg/mL)
125334ASY,cefadroxil   23.5g(50mg/mL)
125304ACH,cefadroxil hydrate   0.5g
125931AGN,cefdinir   10g(0.1g/g)
125901ACH,cefdinir   0.1g
126031AGN,cefditoren pivoxil   10g(0.1g/g)
126001ATB,cefditoren pivoxil   0.1g
126201ATB,cefetamet pivoxil hydrochloride   0.5g
126334APD,cefixime hydrate   5g(50mg/g)
126301ACH,cefixime hydrate   0.1g
127930ASY,cefpodoxime proxetil   0.5g(10mg/mL)
127931ASY,cefpodoxime proxetil   2g(10mg/mL)
127932ASY,cefpodoxime proxetil   5g(10mg/mL)
127901ATB,cefpodoxime proxetil   0.1g
128030ASY,cefprozil   1.5g(25mg/mL)
128031ASY,cefprozil   2.5g(25mg/mL)
128032ASY,cefprozil   3.75g(25mg/mL)
128001ATB,cefprozil hydrate   0.25g
128101ACH,cefroxadine   0.25g
128931ASY,cefuroxime axetil (as cefuroxim   1.25g(25mg/mL))
128903ATB,cefuroxime axetil (as cefuroxime   0.25g)
129402ACH,cephalexin   0.5g
130101ACH,cefradine hydrate   0.25g
130105ACH,cefradine hydrate   0.5g
163430APD,fosfomycin trometamol (as fosfomycin   3g(0.375g/g))
193101ACH,methylol cephalexin lysinate   0.5g
193101ATB,methylol cephalexin lysinate   0.5g
233701ATB,sultamicillin tosylate (as sultamicillin   0.375g)
536300ASY,amoxicillin   6g(0.12g/mL)
647300ASY,amoxicillin   60g(0.12g/mL)
534200ASY,amoxicillin   750mg(25mg/mL)
534400ASY,amoxicillin   1.25g(25mg/mL)
534600ASY,amoxicillin   6.25g(25mg/mL)
534700ASY,amoxicillin   12.5g(25mg/mL)
534800ASY,amoxicillin   1.2g(40mg/mL)
535000ASY,amoxicillin   2g(40mg/mL)
535300ASY,amoxicillin   10g(40mg/mL)
535500ASY,amoxicillin   20g(40mg/mL)
310500ATB,amoxicillin   0.125g
310600ATB,amoxicillin   0.25g
310700ATB,amoxicillin   0.5g
440100ATB,amoxicillin   0.875g
462000ATB,amoxicillin   0.4375g
467300ASS,amoxicillin   0.125g
467400ASS,amoxicillin   0.2g
536200ASY,amoxicillin   3g(50mg/mL)
380000ATB,amoxicillin   0.25g
452001ATB,rifaximin   0.2g
474432AGN,cefcapene pivoxil hydrochloride hydrate   10g(0.1g/g)
474401ATB,cefcapene pivoxil hydrochloride hydrate   75mg
474402ATB,cefcapene pivoxil hydrochloride hydrate   0.1g
589301ACH,ampicillin   0.25g
589302ACH,ampicillin   0.5g
134933ASY,clarithromycin   0.75g(25mg/mL)
134934ASY,clarithromycin   1.5g(25mg/mL)
134935ASY,clarithromycin   2.5g(25mg/mL)
134942ASY,clarithromycin   11.25g(25mg/mL)
134936ASY,clarithromycin   2.5g(50mg/mL)
134937ASY,clarithromycin   3.5g(50mg/mL)
134939ASY,clarithromycin   5g(50mg/mL)
134901ATB,clarithromycin   0.25g
134904ATB,clarithromycin   0.5g
134904ATR,clarithromycin   0.5g
135401ACH,clindamycin hydrochloride   0.15g
311000ATB,metronidazole   0.125g
232801ATE,sulfasalazine   0.5g
311500ATB,sulfamethoxazole   0.4g
483601ATB,sulfadiazine   0.5g
155602ATB,ethambutol hydrochloride   0.4g
155605ATB,ethambutol hydrochloride   0.8g
178101ATB,isoniazid   0.1g
208131AGN,calcium p-aminosalicylate   2.64g(0.8g/g)
220401ATB,prothionamide   0.125g
221201ATB,pyrazinamide   0.25g
221202ATB,pyrazinamide   0.5g
380200ATB,isoniazid   0.15g
626901ATB,bedaquiline fumarate (as bedaquiline   0.1g)
631101ATB,delamanid   50mg
140501ATB,dapsone   0.1g
102940ASY,acyclovir   2.4g(80mg/mL)
102942ASY,acyclovir   12g(80mg/mL)
102904ATB,acyclovir   0.2g
102907ATB,acyclovir   0.4g
102946ATC,acyclovir   50mg/정
134103ATB,ciprofloxacin hydrochloride (as ciprofloxacin   0.25g)
134105ATB,ciprofloxacin hydrochloride (as ciprofloxacin   0.5g)
134105ATR,ciprofloxacin hydrochloride (as ciprofloxacin   0.5g)
134108ATR,ciprofloxacin hydrochloride (as ciprofloxacin   1g)
134109ATB,ciprofloxacin hydrochloride (as ciprofloxacin   0.75g)
151002ATB,efavirenz   0.6g
157201ATB,famciclovir   0.25g
157202ATB,famciclovir   0.75g
159934ASY,fluconazole   0.35g(10mg/mL)
159903ACH,fluconazole   50mg
159905ACH,fluconazole   0.15g
159905ATB,fluconazole   0.15g
175030ASY,inosiplex   25g(50mg/mL)
175031ASY,inosiplex   5g(50mg/mL)
175001ATB,inosiplex   0.5g
179131ALQ,itraconazole   1.5g(10mg/mL)
179101ACH,itraconazole   0.1g
179101ATB,itraconazole   0.1g
179104ATB,itraconazole   0.2g
180902ATB,lamivudine   0.15g
183201ATB,levofloxacin hydrate   0.1g
183202ATB,levofloxacin hydrate   0.25g
183203ATB,levofloxacin hydrate   0.5g
183205ATB,levofloxacin hydrate   0.75g
184901ATB,lomefloxacin hydrochloride   0.1g
184903ATB,lomefloxacin hydrochloride   0.4g
184904ATB,lomefloxacin hydrochloride   0.2g
200101ATB,nelfinavir mesylate (as nefinavir   0.25g)
200801ATB,nevirapine   0.2g
203301ATB,norfloxacin   0.1g
203302ACH,norfloxacin   0.2g
203901ATB,ofloxacin   0.1g
203904ATB,ofloxacin   0.2g
223601ACH,ribavirin   0.1g
223604ACH,ribavirin   0.2g
224430ALQ,ritonavir   19.2g(80mg/mL)
224401ACH,ritonavir   0.1g
224401ATB,ritonavir   0.1g
235747ATB,terbinafine hydrochloride (as terbinafine   0.125g)
242201ATB,tosufloxacin tosylate   0.15g
246701ATB,valaciclovir hydrochloride (as valaciclovir   0.5g)
248100ATB,emtricitabine   0.2g
250201ACH,zidovudine   0.1g
358907ASS,oseltamivir phosphate (as oseltamivir   0.3g(6mg/mL))
358908ASS,oseltamivir phosphate (as oseltamivir   0.39g(6mg/mL))
358909ASS,oseltamivir phosphate (as oseltamivir   0.45g(6mg/mL))
